Tour,Revenue,Attendance
Fearless Tour,79918514,1378171
Speak Now Tour,204393889,2649443
Red Tour,242414924,2782694
1989 Tour,455929059,2649443
Reputation Tour,597640489,4978304
*Eras Tour,780000000,4056656
